식품명,지역 / 제조사,1회제공량,내용량_단위,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
갈비탕,㈜도야지식품,500,g,120,0,0,0,1
롯데비엔나,롯데푸드,100,g,270,0,0,0,1
리챔 오리지널,㈜동원에프앤비,100,g,263,0,0,0,3
빅켄터키후랑크,㈜사조오양 양산공장,100,g,231,0,0,0,3.2
스팸클래식,CJ제일제당㈜,100,g,305,0,0,0,2
엄선메추리알,농업회사법인 ㈜알로만,270,g,440,0,0,0,0
오뚜기 햄,오뚜기냉동식품㈜,100,g,255,0,0,0,1
요리하다  뼈해장국,㈜고향식품,650,g,610,0,0,0,6.4
주부9단 비엔나소시지,㈜농협목우촌,100,g,303,0,0,0,2
The더건강한통목살스테이크,CJ제일제당㈜,100,g,225,0,0,0,1
오스카 마이어 베이컨(OSCAR MAYER BACON),"Kraft Foods Group, Inc.",100,g,480,0,0,0,1
쟌슨빌 피캠(JOHNSONVILLE PKAM),JEANHENAFF PRODUCTION,200,g,566,0,0,0,0
진주 줄줄이비엔나 오리지널,진주햄,100,g,305,0,0,0,2
청정원 참나무로 훈연한 비엔나,대상㈜,100,g,345,0,0,0,1
치즈인그릴후랑크,㈜오뗄,100,g,364,0,0,0,3.6
하얀속살슬림닭가슴살,(주)하림,135,g,105,0,0,0,1
BBQ오색그릴소시지,㈜코주부비앤에프,100,g,230,0,0,0,1
바스치킨프랑크(BAR-S CHICKEN FRANKS WITH PORK),BAR-S  FOODS CO.,45.4,g,122,0,0,0,1
카보트 푸드 프랭크 소시지(CABOT FOOD FRANKS),HATFILED QUALITY MEATS,45,g,105,0,0,0,0
페파로니,㈜사조오양 평택공장,100,g,260,0,0,0,3
살라미 엑스트라(SALAMI EXTRA),ESTEBAN ESPUNA SA,100,g,522,0,0,0,3.9
초리조 슬라이스(SLICED CHORIZO),ESTEBAN ESPUNA SA,100,g,330,0,0,0,2.7
델 듀카 프로슈토(DEL DUCA PROSCIUTTO),"Daniele, Inc",85,g,150,0,0,0,0
시테리오 프로슈토 디 파르마 디오피(CITTERIO PROSCIUTTO DI PARMA D.O.P),GIUSEPPE CITTERIO SPA,70,g,170,0,0,0,0
초리조 이베리코(IBERICO PORK DRY-CURED CHORIZO SAUSAGE),"EMBUTIDOS FERMIN, S. L.",100,g,470,0,0,0,0
The더건강한 통크게 썰어넣은 후랑크 어니언,CJ제일제당㈜,100,g,290,0,0,0,1
The더건강한햄페퍼갈릭,CJ제일제당㈜,100,g,330,0,0,0,1
동원 통그릴후랑크,㈜동원에프앤비,30,g,85,0,0,0,0.5
롯데바베큐햄,롯데푸드,100,g,90,0,0,0,1
롯데햄 로스팜 엔네이처 마일드,롯데푸드,100,g,255,0,0,0,0
롯데햄 엔네이처빅그릴비엔나,롯데푸드,100,g,290,0,0,0,3
메이저킹스모크비엔나,㈜오뗄 포천용정지점,100,g,333,0,0,0,3.87
멕시칸 치킨 윙(날개)(PEACOCK MEXICAN CHICKEN MIDDLE WING),CPF(Thailand) Public Company Limited,100,g,232,0,0,0,1
빅그릴프랑크,롯데푸드,100,g,300,0,0,0,2
사조안심 닭가슴살 마일드,㈜사조대림,100,g,120,0,0,0,1
사조안심팜,㈜사조오양 평택공장,100,g,260,0,0,0,3
의성마늘비엔나,롯데푸드,100,g,235,0,0,0,6
주부9단 프랑크소시지,㈜농협목우촌,100,g,298,0,0,0,2
참나무훈제삼겹살,㈜에이치제이에프,100,g,300,0,0,0,1
샤르르 소프트쿠키 만들기,(주)브레드가든성남공장,240,g,945,0,0,0,96
유기농 황설탕,대상㈜ 오산공장,100,g,400,0,0,0,98
100% 유기농 발아 미숫가루,청오건강농업회사법인㈜ 3공장,100,g,430,0,0,0,3
메밀차,(주)티젠 농업회사법인,1.6,g,1.3,0,0,0,0
옛날조청쌀엿,㈜남영식품,100,g,315,0,0,0,36
OnlyPrice 밀가루,㈜제이푸드서비스,100,g,350,0,0,0,1
식혜만들기,김포맥아식품,100,g,360,0,0,0,12
요리하다 찹쌀가루,전원식품,100,g,359,0,0,0,0
요리하다 들깨가루,전원식품,100,g,565,0,0,0,1
청정원 요리올리고당,대상㈜ 오산공장,100,g,310,0,0,0,45
레드벨벳믹스,(주)브레드가든성남공장,100,g,380,0,0,0,58
무농약 오곡 바나나스낵,㈜프로엠 2공장,60,g,330,0,0,0,13
구미베어,조앤스빌,64,g,220,0,0,0,28
백설 스위트리 알룰로스,CJ제일제당㈜,100,g,35,0,0,0,8
앱솔맘 코코아,매일유업㈜ 평택공장,20,g,65,0,0,0,6
순쌀짜장면,현농㈜,80,g,181.6,0,0,0,0.7
링귀네,㈜영인코프레이션,100,g,355,0,0,0,3.9
오물조물얌얌 파래김자반볶음,(주)천명푸드,40,g,285,0,0,0,4
오란다,서울제과,100,g,444,0,0,0,39
우리밀 발아통밀 오곡이,제이티푸드,100,g,497,0,0,0,20
우리밀구쁘퐁,㈜맘모스제과,90,g,352,0,0,0,30
젤리셔스 구미당기는구미,㈜에스디푸드,70,g,225,0,0,0,39
허니브레드,㈜샤니,150,g,412,0,0,0,8
정통와플미니,㈜에스피씨삼립,30,g,113,0,0,0,6
달콤한 화이트슈,㈜에스피씨삼립,150,g,538,0,0,0,23
고소한쌀과자(쌀71%함유)(SWEET RICE CRACKER),㈜에스앤케이글로벌,6,g,30,0,0,0,0.8
마오암블락스사우어(MAOAM BLOXX SOUR),(주)에스씨디글로벌,110,g,420,0,0,0,62
하리보 골드베어(220G)(HARIBO OSITOS DE ORO CUP),여리수,220,g,755,0,0,0,101
해물안성탕면,농심,112,g,485,0,0,0,5
오뚜기카레면,오뚜기라면㈜,130,g,515,0,0,0,130
오뚜기뿌셔뿌셔(양념치킨맛),오뚜기라면㈜,90,g,415,0,0,0,5
오뚜기진라면매운맛,오뚜기라면㈜,110,g,500,0,0,0,6
후룻 바이 더 풋 풋젤리 포도 & 청포도향,제너럴밀스코리아,21,g,79,0,0,0,9.1
뽀로로와친구들 치즈,상일식품,65,g,330,0,0,0,7
팔도 더왕뚜껑,팔도,120,g,510,0,0,0,4
클래식 티라미수,매일유업㈜ 평택공장,100,g,260,0,0,0,18
트리플 치즈케익,매일유업㈜ 평택공장,100,g,340,0,0,0,23
떠먹는 컵피자 매운치킨,㈜조흥,150,g,365,0,0,0,9
떠먹는 컵피자 포테이토,㈜조흥,150,g,380,0,0,0,4
청수물냉면,청수식품㈜,180,g,542,0,0,0,15
쫄깃한 당면 500G(쫄깃한 당면),한국에스비식품㈜,100,g,340,0,0,0,0
오뚜기옛날납작당면(100G)(OTTOGI WIDE VERMICELLI),오뚜기,100,g,345,0,0,0,0
오뚜기 옛날잡채,오뚜기라면㈜,75,g,225,0,0,0,8
쉐프원 중화면,㈜두영종합식품,230,g,375,0,0,0,1
한입에 쏙 야채크래커,상일식품,69,g,355,0,0,0,5
롤리팝 라인프렌즈(LOLLIPOP LINE FRIENDS),유창성업㈜,11,g,36,0,0,0,7
박하향사탕,맘모스식품,4,g,16,0,0,0,3
쉐프원 잔치국수,㈜영미산업,100,g,350,0,0,0,5
청수비빔냉면,청수식품㈜,180,g,578,0,0,0,15
하비스트 달콤고소,상일식품,100,g,515,0,0,0,24
쇠고기미역국라면,오뚜기라면㈜,115,g,445,0,0,0,2
이탈리아 캄파니아 스파게티,샘표식품㈜ 이천공장,100,g,370,0,0,0,4
백설 시럽용올리고당,CJ제일제당㈜,100,g,295,0,0,0,33
백설 끈기올리고당,CJ제일제당㈜,100,g,260,0,0,0,50
고메 새우 스프링롤(고메 새우 스프링롤),CJ제일제당㈜,100,g,152,0,0,0,6
신상하이샤오롱,CJ제일제당㈜,168,g,355,0,0,0,5
정통크림빵,㈜에스피씨삼립,75,g,280,0,0,0,14
명인명작단팥도라야끼,㈜에스피씨삼립,60,g,171,0,0,0,24
식자재왕 돌김자반볶음,바다원㈜,100,g,615,0,0,0,12
오물조물얌얌 광천 돌자반볶음,(주)천명푸드,100,g,645,0,0,0,11
쿠리이리도라야키(KURI IRI DORAYAKI),(주)서울푸드트레이딩,100,g,315,0,0,0,56.9
물엿,동희(주),100,g,304,0,0,0,42
굿프랜즈 크리스피 핫도그,(주)미가,80,g,390,0,0,0,7
맛김가루,다원식품,100,g,640,0,0,0,0
조이락 알뜰봉각 어묵,㈜동원에프앤비,100,g,175,0,0,0,6
더(The) 건강한 구운어묵 도톰사각,씨제이씨푸드㈜,100,g,150,0,0,0,4
딱좋아화이트광천김부각,(주)태산알엔디,25,g,143,0,0,0,0
올리고당,오뚜기식품㈜ 삼남공장,100,g,284,0,0,0,28
초간편 콩전믹스,오뚜기라면㈜,100,g,395,0,0,0,5
속이알찬바싹불고기김밥,롯데푸드㈜ 평택공장,316,g,485,0,0,0,8
속이알찬매콤제육&참치김밥,롯데푸드㈜ 평택공장,344,g,650,0,0,0,10
프리미엄햄에그 샌드위치,㈜샌드팜,165,g,419,0,0,0,9
아이돌 샌드위치,㈜샌드팜,205,g,574,0,0,0,12
묵은지참치김밥,(주)후레쉬퍼스트,231,g,317,0,0,0,2
버터갈릭 치킨 샌드위치,㈜샌드팜,165,g,454,0,0,0,11
통통마일드치킨버거,청탑,150,g,416,0,0,0,7
치즈불고기버거,조이푸드,245,g,710,0,0,0,13
빅불고기치즈버거,조이푸드,160,g,413,0,0,0,12
B.E.L.T. 샌드위치,㈜신세계푸드 오산공장,235,g,505,0,0,0,6
탄두리치킨토마토샌드위치,㈜신세계푸드 오산공장,180,g,352,0,0,0,14
큰댁 비빔양념,㈜영미산업,100,g,230,0,0,0,40
부산어묵 쫄깃한 야채사각,㈜사조대림,100,g,195,0,0,0,3
신 비비고 수교자,CJ제일제당㈜,308,g,765,0,0,0,8
신 비비고 소고기 한섬만두,CJ제일제당㈜,320,g,575,0,0,0,7
김앤김 광천 김가루,(주)김앤김,100,g,550,0,0,0,0
어포스 자이언트,신선어람,100,g,385,0,0,0,49
쉐프원바삭부침가루,㈜제이푸드서비스,100,g,345,0,0,0,3
동원 바다살 김밥어묵,㈜동원에프앤비,100,g,170,0,0,0,5
아이생각 닭가슴살브로콜리양파 진밥,롯데푸드㈜ 평택공장,180,g,150,0,0,0,1
아이생각 한우당근비타민채 묽은죽,롯데푸드㈜ 평택공장,180,g,84,0,0,0,1
아이배냇 베베 햅쌀이유식 한우쇠고기미역,㈜선양송탄공장,110,g,65,0,0,0,0
아이배냇 베베 햅쌀이유식 전복파래,㈜선양송탄공장,110,g,45,0,0,0,1
블루베리 팬케익,한국에스비식품㈜,150,g,555,0,0,0,51
청정원 진한 토마토케찹,대상㈜ 기흥공장,500,g,110,0,0,0,20
비비고(bibigo)군만두,CJ제일제당㈜,450,g,1015,0,0,0,11
CJ 비비고 한섬만두,CJ제일제당㈜,384,g,760,0,0,0,10
CJ 비비고 김치왕교자,CJ제일제당㈜,100,g,175,0,0,0,4
초코칩쿠키믹스,㈜일광에프앤에스,290,g,1245,0,0,0,131
샘표 쌀소면,㈜정성면,100,g,364,0,0,0,2
면사랑생쫄면사리,㈜면사랑,200,g,450,0,0,0,0
CHOICE L 소면,대양제면,100,g,350,0,0,0,3
생칼국수,㈜미정,550,g,1430,0,0,0,14
옛날국수(중면),태화식품,100,g,340,0,0,0,7
활면 생칼국수,동성식품,175,g,463,0,0,0,3.9
사루비아,훼미리식품,30,g,150,0,0,0,18
밀크티하임,크라운제과,16,g,85,0,0,0,38
그랑쉘 사과,㈜청우식품,100,g,423,0,0,0,30
다이제,㈜오리온 제2익산공장,39,g,188,0,0,0,8
카카오비스킷 오리온샌드 까메오 White cream,㈜오리온 제2익산공장,66,g,326,0,0,0,23
촉촉한초코칩,㈜오리온 제2익산공장,20,g,102,0,0,0,24
궁중꿀약과,㈜호남샤니,30,g,142,0,0,0,3
구운감자슬림,훼미리식품,20,g,95,0,0,0,17
오뜨 치즈,㈜오리온 제2익산공장,24,g,110,0,0,0,29
오곡코코볼,동서식품(주),30,g,118,0,0,0,9.3
후루트링,농심켈로그㈜,30,g,117,0,0,0,11
다섯가지 곡물로 만든 오곡 초코볼,㈜씨알푸드,30,g,105,0,0,0,9
고소한 아몬드후레이크,동서식품(주),100,g,427,0,0,0,27
비비고 매운왕교자,CJ제일제당㈜,385,g,860,0,0,0,14
더욱 맛있어진 뉴백설군만두,씨제이제일제당㈜ 남원공장,445,g,1056,0,0,0,10
의성마늘 고기왕교자,㈜푸르온,385,g,810,0,0,0,16
CJ 비비고 왕교자,CJ제일제당㈜,350,g,0,0,0,0,11
비비고(bibigo) 새우왕교자,CJ제일제당㈜,315,g,565,0,0,0,9
CJ 비비고 김치왕교자,CJ제일제당㈜,420,g,735,0,0,0,12
비비고(bibigo)군만두,CJ제일제당㈜,450,g,1015,0,0,0,11
쫀득쫀득 참붕어빵,㈜오리온 제2익산공장,29,g,121,0,0,0,10
그대로 토스트,㈜파리크라상,100,g,325,0,0,0,4
우유듬뿍 굿모닝롤,㈜파리크라상 성남제2공장,100,g,325,0,0,0,13
정통우유 식빵,㈜파리크라상,100,g,300,0,0,0,5
통단팥이가득단팥빵,㈜에스피씨삼립,85,g,241,0,0,0,18
명인명작단팥도라야끼,㈜에스피씨삼립,60,g,171,0,0,0,24
꿀호떡요요,㈜에스피씨삼립,25,g,73,0,0,0,7
밀크식빵,롯데제과㈜ 부산공장,100,g,290,0,0,0,5
콘샐러드,㈜시아스,500,g,645,0,0,0,64
고구마샐러드,㈜시아스,500,g,710,0,0,0,84
퀘이커 마시는 오트밀 오트&그레인,농업회사법인주식회사 두리두리,50,g,230,0,0,0,14
퀘이커 마시는 오트밀 오트&단호박,농업회사법인주식회사 두리두리,50,g,210,0,0,0,11
와사비타르타르소스,㈜원일식품,270,g,1210,0,0,0,11
스테이크소스,㈜원일식품,330,g,510,0,0,0,74
타타르소스,오뚜기,100,g,445,0,0,0,9
갈릭마요딥핑소스,오뚜기,100,g,580,0,0,0,5
홈스타일오리엔탈드레싱,㈜시아스,100,g,215,0,0,0,19
홈스타일참깨드레싱,㈜시아스,100,g,455,0,0,0,12
레드와인발사믹드레싱,오뚜기,210,g,150,0,0,0,15
요리하다 찹쌀가루,전원식품,100,g,359,0,0,0,0
우리밀 부침가루,CJ제일제당㈜,100,g,350,0,0,0,2
요리하다 귀리가루,전원식품,100,g,407,0,0,0,1
폭신폭신 촉촉함이 입 안 가득 팬케익믹스,㈜삼양사 아산공장,100,g,390,0,0,0,18
감자수제비가루,CJ제일제당㈜,240,g,845,0,0,0,4
쫄깃쫄깃 쫀득함이 입 안 가득 부침가루,㈜제이푸드서비스,100,g,350,0,0,0,6
유기농 흑설탕,대상㈜ 오산공장,100,g,400,0,0,0,99
브라운 자일로스 설탕,㈜삼양사 울산1공장,100,g,400,0,0,0,99
흑설탕,CJ제일제당㈜,100,g,385,0,0,0,92
자일로슈가 브라운,대한제당㈜,100,g,400,0,0,0,100
헤이즐넛향시럽미니,CJ제일제당㈜,100,g,252,0,0,0,56
백설 매실청,동희(주),100,g,260,0,0,0,60
큐원홈메이드와플믹스,㈜삼양사 아산공장,100,g,435,0,0,0,23
감자전,한국에스비식품㈜,120,g,405,0,0,0,3
옛날조청쌀엿,㈜남영식품,100,g,315,0,0,0,36
미스터파머스 태양초 고춧가루,영농조합법인 정담원,100,g,375,0,0,0,16
청정원감식초,대상㈜ 오산공장,100,mL,15,0,0,0,2
도토리묵가루,전원식품,100,g,347,0,0,0,0
와사비마요네즈,㈜시아스,100,g,675,0,0,0,3
유기농 바나나우유(ORGANIC MILK),매일유업㈜ 광주공장,125,mL,110,0,0,0,13.5
유기농 딸기우유(ORGANIC MILK),매일유업㈜ 광주공장,125,mL,105,0,0,0,13
유기농 우유(ORGANIC MILK),매일유업㈜ 광주공장,125,mL,80,0,0,0,6
데일리 요구르트/냉장,㈜서울에프앤비,80,mL,60,0,0,0,12
플레인 오리지널 요거트,학교법인건국대학교건국유업.건국햄,100,g,72,0,0,0,6
플레인 저지방 요거트,학교법인건국대학교건국유업.건국햄,100,g,55,0,0,0,6
액티비아 병 화이트 0% 플레인,풀무원다논㈜,100,mL,54,0,0,0,2
액티비아 팻제로 드링크 딸기,풀무원다논㈜,100,mL,47,0,0,0,8
요플레 클래식,빙그레,85,g,85,0,0,0,8.5
케피어 12 플레인,매일유업㈜ 청양공장,200,mL,140,0,0,0,20
떠먹는 비피더스 딸기,푸르밀,83,g,65,0,0,0,12
매일우유,매일유업㈜ 광주공장,100,mL,65,0,0,0,5
요러브 딸기 요거트,㈜동원에프앤비 수원공장,85,mL,85,0,0,0,12
요러브 복숭아 요거트,㈜동원에프앤비 수원공장,85,mL,85,0,0,0,11
요러브 베리 요거트,㈜동원에프앤비 수원공장,85,mL,85,0,0,0,12
생크림 요거트,㈜동원에프앤비 수원공장,85,g,119,0,0,0,10
소와나무 365일 순수한 목장우유,㈜동원에프앤비 수원공장,200,mL,145,0,0,0,9
장건강 프로바이오틱 사과,서울우유협동조합 안산공장,150,mL,103,0,0,0,14
요하임 딸기,㈜서울에프앤비,100,g,105,0,0,0,13
남양 맛있는 우유 GT ,남양유업㈜ 나주공장,100,mL,65,0,0,0,4.5
알뜰한 우유,학교법인건국대학교건국유업.건국햄,100,mL,65,0,0,0,4.6
초코우유,㈜서울에프앤비,250,mL,205,0,0,0,22
커피우유,㈜서울에프앤비,250,mL,195,0,0,0,22
바나나우유,㈜서울에프앤비,250,mL,220,0,0,0,26
딸기우유,㈜서울에프앤비,250,mL,187,0,0,0,21
메로나 보틀,㈜서울에프앤비,230,mL,209,0,0,0,30
갈아만든 아몬드우유,㈜서울에프앤비,100,mL,85,0,0,0,10
아침한끼 곡물우유,㈜서울에프앤비,100,mL,85,0,0,0,13
유기농 우유,매일유업㈜ 상하공장,100,mL,65,0,0,0,5
목장의 신선함이 살아있는 요하임 딸기,서울우유협동조합 안산공장,340,g,310,0,0,0,36
목장의 신선함이 살아있는 요하임 블루베리,서울우유협동조합 안산공장,340,g,315,0,0,0,36
목장의 신선함이 살아있는 딸기요구르트,㈜서울에프앤비,225,mL,225,0,0,0,19
목장의 신선함이 살아있는 우유,서울우유협동조합 거창공장,100,mL,65,0,0,0,4.5
매일우유오리지널,매일유업㈜ 평택공장,100,mL,65,0,0,0,5
모닝후레쉬,㈜비락 대구공장,100,mL,70,0,0,0,5
서울우유 플레인 요구르트/냉장,㈜데어리젠,80,mL,72,0,0,0,4
딸기 꿀딴지,서울우유협동조합 안산공장,180,mL,145,0,0,0,19
초코 꿀딴지,서울우유협동조합 안산공장,180,mL,170,0,0,0,23
바나나는 원래 하얗다,매일유업㈜ 광주공장,235,mL,150,0,0,0,24
남양 초코에몽,남양유업㈜ 천안신공장,180,mL,175,0,0,0,20
빙그레 바나나맛 우유,빙그레,240,mL,208,0,0,0,27
얼려먹는 야쿠르트,한국야쿠르트,110,mL,80,0,0,0,16
짜요짜요 플레인,서울우유협동조합 안산공장,40,g,50,0,0,0,6
짜요짜요 딸기,서울우유협동조합 안산공장,40,g,50,0,0,0,6
짜요짜요 포도,서울우유협동조합 안산공장,40,g,50,0,0,0,6
허쉬초콜릿드링크 오리지널,매일유업㈜ 광주공장,235,mL,160,0,0,0,27
진심을 담은 데일리 딸기,매일유업㈜ 평택공장,80,g,70,0,0,0,10
진심을 담은 데일리 블루베리,매일유업㈜ 평택공장,80,g,70,0,0,0,10
진심을 담은 데일리 플레인,매일유업㈜ 평택공장,80,g,70,0,0,0,9
우유(1등급),매일유업㈜ 경산공장,100,mL,65,0,0,0,5
꿀이 든 미숫가루 우유,㈜서울에프앤비,100,mL,95,0,0,0,13
오트밀크,㈜서울에프앤비,225,mL,200,0,0,0,11
덴마크 산양우유,이담,200,mL,135,0,0,0,9
요플레 오리지널 패션프루트,빙그레,80,g,75,0,0,0,12
저지방 플레인,매일유업㈜ 청양공장,100,g,60,0,0,0,4.5
플레인 요거트,매일유업㈜ 청양공장,100,g,77,0,0,0,4
진심을 담은 우유,남양유업㈜ 천안신공장,100,mL,65,0,0,0,4.5
오렌지요구르트,㈜우리에프엔비,80,mL,47,0,0,0,9
남양 아침목장 우유,남양유업㈜ 나주공장,100,mL,65,0,0,0,4.5
참맛우유,빙그레,200,mL,132,0,0,0,9
덴마크 초코초코 우유,㈜동원에프앤비 정읍공장,200,mL,222,0,0,0,37
덴마크 딸기딸기 우유,㈜동원에프앤비 정읍공장,200,mL,150,0,0,0,23
딸기에몽,남양유업㈜ 천안공장,180,mL,170,0,0,0,20
서울우유요구르트,서울우유협동조합 양주공장,65,mL,45,0,0,0,9
에이스,해태제과식품㈜,24,g,130,0,0,0,2
배음료,웅진식품㈜,500,mL,270,0,0,0,59
매실음료,웅진식품㈜,500,mL,280,0,0,0,60
스프라이트,코카콜라음료(주),250,mL,112,0,0,0,28
밀크소다 암바사,코카콜라음료(주),250,mL,131,0,0,0,31
돌 스위티오 파인애플 주스,농업회사법인 ㈜해피푸르츠,120,mL,55,0,0,0,14
엄마의 정성을 담은 식혜,팔도,200,mL,70,0,0,0,14
후렌치파이딸기,해태제과식품㈜,13,g,60,0,0,0,4
델몬트오렌지드링크,롯데칠성음료㈜,190,mL,60,0,0,0,15
후렌치파이사과,해태제과식품㈜,13,g,65,0,0,0,4
매운새우깡,농심,30,g,150,0,0,0,2.1
꼬마전병맛파래맛,정성제과,100,g,350,0,0,0,40
꼬마전병호박맛,정성제과,100,g,410,0,0,0,42
고구마형,태광제과,220,g,1035,0,0,0,31
왕소라형,태광제과,200,g,900,0,0,0,34
단백한끼,오그래 농업회사법인,25,g,95,16,0,0,0
V라인 광동옥수수수염차,㈜삼양패키징 광혜원공장,340,mL,0,0,0,0,0
광동 男남 힘찬하루 헛개차茶,㈜삼양패키징 광혜원공장,340,mL,0,0,0,0,0
귀리우유쉐이크,㈜비엘에프씨,50,g,208,0,0,0,0
데미소다 자몽,동아오츠카(주),340,mL,145,0,0,0,35
메로나 제주스파클링,㈜제이크리에이션,350,mL,150,0,0,0,34
쁘띠첼 워터젤리 복숭아,씨제이제일제당㈜ 진안공장,130,mL,95,0,0,0,15
쁘띠첼 워터젤리 사과,씨제이제일제당㈜ 진안공장,130,mL,100,0,0,0,13
사과드링크,오케이에프㈜,240,mL,64,0,0,0,16
"소표국수(소면,중면)",대양제면,100,g,350,0,0,0,3
썬키스트레몬에이드,해태에이치티비㈜,240,mL,100,0,0,0,24
옛날국수(중면),태화식품,100,g,340,0,0,0,7
오렌지드링크,오케이에프㈜,240,mL,64,0,0,0,15
우리밀국수 소면,㈜풍국면,100,g,345,0,0,0,3
제티 쵸코렛맛 드링크,동서식품(주),175,mL,90,0,0,0,18
쿨피스 톡 복숭아맛,㈜남양에프앤비,340,mL,135,0,0,0,32
쿨피스 톡 파인애플 맛,㈜남양에프앤비,340,mL,135,0,0,0,32
포카리스웨트,동아오츠카(주),100,mL,25,0,0,0,6
마운틴 듀,롯데칠성음료㈜,400,mL,192,0,0,0,48
맛있는 두유 GT 검은콩+17곡,남양유업㈜ 천안공장,190,mL,120,0,0,0,9
매일두유 초콜릿,매일유업㈜ 광주공장,190,mL,150,0,0,0,22
밀크소다 암바사,코카콜라음료(주),500,mL,259,0,0,0,61
슈퍼핏 깔라만시,㈜휴럼,100,mL,25,0,0,0,4
진로믹서 토닉워터 깔라만시,상일,300,mL,145,0,0,0,31
초정탄산 레몬,㈜일화 초정공장,500,mL,0,0,0,0,0
프라우 라임,㈜남양에프앤비,390,mL,0,0,0,0,0
프리미엄소다 레몬 사이다,㈜남양에프앤비,390,mL,92,0,0,0,23
동원보성녹차,㈜동원에프앤비,350,mL,0,0,0,0,0
미닛메이드 쿠우포도,해태에이치티비㈜,300,mL,72,0,0,0,16
밀키스,롯데칠성음료㈜,100,mL,50,0,0,0,12
스프라이트,코카콜라음료(주),100,mL,44,0,0,0,11
코카콜라제로,코카콜라음료(주),100,mL,0,0,0,0,0
토레타!,해태에이치티비㈜,100,mL,16,0,0,0,4
뉴-요크 샌드위치,㈜샌드팜 영남공장,175,g,411,0,0,0,10
더블 스모키 버거,㈜샌드팜 영남공장,160,g,384,0,0,0,14
아기밀 냠냠 유기농 주스 사과.배,(재)대구테크노파크부설바이오산업지원센터,120,g,55,0,0,0,13
아이꼬야 유기농 베이비주스 사과포도,남양유업㈜ 경주공장,120,g,50,0,0,0,12
종표국수,종표국수,100,g,355,0,0,0,2
콩국수용콩가루,복만네식품,100,g,420,0,0,0,10
피크닉 사과,매일유업㈜ 영동공장,200,mL,70,0,0,0,16
공룡메카드 사과,드림바이오 주식회사,100,mL,35,0,0,0,8
과수원 사과,남양유업㈜ 천안공장,190,mL,65,0,0,0,15
과수원 청포도,남양유업㈜ 천안공장,190,mL,65,0,0,0,15
볶음콩가루,우영식품,100,g,475,0,0,0,7
유기농 레드비트&배&토마토,롯데푸드㈜ 파스퇴르공장,125,mL,50,0,0,0,12
유기농 사과&당근,롯데푸드㈜ 파스퇴르공장,125,mL,50,0,0,0,12
자연은 잘 자란 유기농 오렌지,푸드웰,100,mL,40,0,0,0,8
찹쌀가루,우영식품,100,g,360,0,0,0,0
귀여운내친구뽀로로블루베리맛,㈜팔도 진천공장,235,mL,80,0,0,0,12
귀여운내친구뽀로로사과맛,㈜팔도 진천공장,235,mL,80,0,0,0,12
디알프리,오손도손F3,4,g,13.95,0,0,0,0.43
딸기 어린이 음료,㈜이마트,200,mL,65,0,0,0,14
사과 어린이 음료,웅진식품㈜,200,mL,75,0,0,0,14
코카-콜라 프로즌,푸드웰,130,mL,75,0,0,0,18
퓨어플러스 요괴메카드 딸기맛,퓨어플러스㈜,240,mL,60,0,0,0,14
퓨어플러스 요괴메카드 사과맛,퓨어플러스㈜,240,mL,64,0,0,0,14
환타 프로즌 오렌지,푸드웰,130,mL,96,0,0,0,18
히비스커스 블렌딩 티,대구경북능금농협 음료가공공장,500,mL,10,0,0,0,1
NEW 스크램블&소시지 샌드위치,㈜샌드팜 영남공장,170,g,482,0,0,0,11
남양 아이꼬야 이온케어,남양유업㈜ 경주공장,120,g,52,0,0,0,7.5
에그슬라이스 샌드위치,㈜샌드팜 영남공장,170,g,447,0,0,0,8
Sunkist 딸기바나나,해태에이치티비㈜,220,mL,124,0,0,0,30
Sunkist 망고바나나,해태에이치티비㈜,220,mL,125,0,0,0,30
가야농장 알로에농장,웅진식품㈜,100,mL,40,0,0,0,8
그리밀단백질쉐이크쿠키앤크림맛,한국네츄럴팜,25,g,90,0,0,0,7
델몬트팜&홈사과,롯데칠성음료㈜,100,mL,40,0,0,0,10
뽀로로 보리차,㈜팔도 진천공장,220,mL,0,0,0,0,0
얼리버드 키즈팜 배도라지,경산복숭아영농조합법인,100,mL,46,0,0,0,9
얼리버드 키즈팜 수삼사과,경산복숭아영농조합법인,110,mL,54,0,0,0,4
핑크퐁 키즈홍삼 사과당근,경북과학대학식품공장,100,mL,40,0,0,0,7.81
핑크퐁 키즈홍삼 포도야채,경북과학대학식품공장,100,mL,50,0,0,0,13
고향만두 치즈갈비교자,㈜청아냉동식품,315,g,825,0,0,0,10
통단팥이 가득 단팥빵,㈜샤니,85,g,255,0,0,0,22
우카빵,㈜샤니,90,g,365,0,0,0,18
미니쉬폰케익,㈜샤니,33,g,94,0,0,0,11
초코컵케익,㈜샤니,42,g,170,0,0,0,10
고기왕만두,㈜서원푸드,1400,g,2985,0,0,0,24
물만두,㈜서원푸드,1320,g,2530,0,0,0,25
감말랭이,한울푸드,60,g,135,0,0,0,24
가마솥에 보리누룽밥,가야산종합식품,50,g,192,0,0,0,0.14
가마솥에 현미누룽밥,가야산종합식품,50,g,190,0,0,0,0
가마솥에 누룽밥,가야산종합식품,50,g,225,0,0,0,0
엄마손맛 우리쌀로 만든 구수한 누룽지야,㈜바른들식품,100,g,380,0,0,0,0
시골마을,한들식품,100,g,95,0,0,0,1
